title,publish_time,authors,journal
Structure-based design of prefusion-stabilized SARS-CoV-2 spikes,"{""value"":""2020-07-23""}","Hsieh, Ching-Lin; Goldsmith, Jory A.; Schaub, Jeffrey M.; DiVenere, Andrea M.; Kuo, Hung-Che; Javanmardi, Kamyab; Le, Kevin C.; Wrapp, Daniel; Lee, Alison G.; Liu, Yutong; Chou, Chia-Wei; Byrne, Patrick O.; Hjorth, Christy K.; Johnson, Nicole V.; Ludes-Meyers, John; Nguyen, Annalee W.; Park, Juyeon; Wang, Nianshuang; Amengor, Dzifa; Lavinder, Jason J.; Ippolito, Gregory C.; Maynard, Jennifer A.; Finkelstein, Ilya J.; McLellan, Jason S.",Science
COVID-19 affects HIV and tuberculosis care.,"{""value"":""2020-07-24""}","Abdool Karim, Quarraisha; Abdool Karim, Salim S",Science
Data secrecy may cripple U.S. attempts to slow pandemic.,"{""value"":""2020-07-24""}","Piller, Charles",Science
"Nicaragua's COVID-19 crisis demands a response.","{""value"":""2020-07-24""}","Huete-Pérez, Jorge; Hildebrand, John",Science
A community-led approach to COVID-19.,"{""value"":""2020-07-24""}","Artelle, Kyle A; Brown, Kelly; Chan, Diana E; Silver, Jennifer J",Science
Ecology and economics for pandemic prevention.,"{""value"":""2020-07-24""}","Dobson, Andrew P; Pimm, Stuart L; Hannah, Lee; Kaufman, Les; Ahumada, Jorge A; Ando, Amy W; Bernstein, Aaron; Busch, Jonah; Daszak, Peter; Engelmann, Jens; Kinnaird, Margaret F; Li, Binbin V; Loch-Temzelides, Ted; Lovejoy, Thomas; Nowak, Katarzyna; Roehrdanz, Patrick R; Vale, Mariana M",Science
Working through grief.,"{""value"":""2020-07-24""}","Nordseth, Anna",Science
Mathematical models to guide pandemic response.,"{""value"":""2020-07-24""}","Metcalf, C Jessica E; Morris, Dylan H; Park, Sang Woo",Science
Research cruises gingerly resume.,"{""value"":""2020-07-24""}","Graber-Stiehl, Ian",Science
University reopening plans under fire.,"{""value"":""2020-07-24""}","Madhusoodanan, Jyoti",Science
Polio vaccinators are back after pandemic pause.,"{""value"":""2020-07-24""}","Roberts, Leslie",Science
Systemic racism persists in the sciences.,"{""value"":""2020-07-24""}","Wingfield, Adia Harvey",Science
The COVID-19 pandemic and human fertility.,"{""value"":""2020-07-24""}","Aassve, A; Cavalli, N; Mencarini, L; Plach, S; Livi Bacci, M",Science
The hepatocyte clock and feeding control chronophysiology of multiple liver cell types.,"{""value"":""2020-07-30""}","Guan, Dongyin; Xiong, Ying; Trinh, Trang Minh; Xiao, Yang; Hu, Wenxiang; Jiang, Chunjie; Dierickx, Pieterjan; Jang, Cholsoon; Rabinowitz, Joshua D; Lazar, Mitchell A",Science
How does SARS-CoV-2 cause COVID-19?,"{""value"":""2020-07-31""}","Matheson, Nicholas J; Lehner, Paul J",Science
How an ancient microbial arms race remodeled human cells.,"{""value"":""2020-07-31""}","Gibbons, Ann",Science
COVID-19 risks to global food security.,"{""value"":""2020-07-31""}","Laborde, David; Martin, Will; Swinnen, Johan; Vos, Rob",Science
Wuhan coronavirus hunter Shi Zhengli speaks out.,"{""value"":""2020-07-31""}","Cohen, Jon",Science
"Global plan seeks to promote vaccine equity, spread risks.","{""value"":""2020-07-31""}","Kupferschmidt, Kai",Science
Cautious optimism.,"{""value"":""2020-07-31""}","Thorp, H Holden",Science
Conservation needs a COVID-19 bailout.,"{""value"":""2020-07-31""}","McCleery, Robert A; Fletcher, Robert J; Kruger, Laurence M; Govender, Danny; Ferreira, Sam M",Science
"COVID-19 unlikely to cause birth defects, but doctors await fall births.","{""value"":""2020-08-07""}","Wadman, Meredith",Science
The long haul.,"{""value"":""2020-08-07""}","Couzin-Frankel, Jennifer",Science
Productivity in a pandemic.,"{""value"":""2020-08-07""}","Collins, Caitlyn",Science
Pandemic hits scientist parents hard.,"{""value"":""2020-08-07""}","Langin, Katie",Science
Interferon responses in viral pneumonias.,"{""value"":""2020-08-07""}","Grajales-Reyes, Gary E; Colonna, Marco",Science
Why infection poses a special risk to pregnant women.,"{""value"":""2020-08-07""}","Wadman, Meredith",Science
Trump directive on state counts said to threaten rigor of census.,"{""value"":""2020-08-07""}","Mervis, Jeffrey",Science
Funding quandary.,"{""value"":""2020-08-07""}",,Science
Unifying the synthesis of nucleoside analogs.,"{""value"":""2020-08-07""}","Miller, Gavin J",Science
"Fast, cheap tests could enable safer reopening.","{""value"":""2020-08-07""}","Service, Robert F",Science
COVID-19 in Africa: Dampening the storm?,"{""value"":""2020-08-07""}","Mbow, Moustapha; Lell, Bertrand; Jochems, Simon P; Cisse, Badara; Mboup, Souleymane; Dewals, Benjamin G; Jaye, Assan; Dieye, Alioune; Yazdanbakhsh, Maria",Science
Knowledge transfer for large-scale vaccine manufacturing.,"{""value"":""2020-08-13""}","Price, W Nicholson; Rai, Arti K; Minssen, Timo",Science
A dangerous rush for vaccines.,"{""value"":""2020-08-13""}","Thorp, H Holden",Science
The ecological and evolutionary consequences of systemic racism in urban environments.,"{""value"":""2020-08-13""}","Schell, Christopher J; Dyson, Karen; Fuentes, Tracy L; Des Roches, Simone; Harris, Nyeema C; Miller, Danica Sterud; Woelfle-Erskine, Cleo A; Lambert, Max R",Science
Controlling the coronavirus narrative.,"{""value"":""2020-08-14""}","Bharti, Nita",Science
"For science in Latin America, 'a fascinating challenge'.","{""value"":""2020-08-14""}","Ortega, Rodrigo Pérez; Wessel, Lindzi",Science
Looking for the light in Haiti.,"{""value"":""2020-08-14""}","Bazell, Robert",Science
"Africa's pandemic puzzle: why so few cases and deaths?","{""value"":""2020-08-14""}","Nordling, Linda",Science
Interrupted-again.,"{""value"":""2020-08-14""}","Gillen, Kathy",Science
Antibodies may curb pandemic before vaccines.,"{""value"":""2020-08-14""}","Cohen, Jon",Science
"Vaccine nationalism's politics.","{""value"":""2020-08-14""}","Fidler, David P",Science
Remodeling vasculature to avoid blindness.,"{""value"":""2020-08-21""}","Podrez, Eugene A; Byzova, Tatiana V",Science
Coronavirus creates a flu season guessing game.,"{""value"":""2020-08-21""}","Servick, Kelly",Science
Black scientists matter.,"{""value"":""2020-08-21""}","Makgoba, Malegapuru William",Science
"Pandemic's fallout on malaria control appears limited so far.","{""value"":""2020-08-21""}","Roberts, Leslie",Science
Microbiota-modulated CART+ enteric neurons autonomously regulate blood glucose.,"{""value"":""2020-08-27""}","Muller, Paul A; Matheis, Fanny; Schneeberger, Marc; Kerner, Zachary; Jové, Veronica; Mucida, Daniel",Science
Restoring neuron connections.,"{""value"":""2020-08-28""}","Salinas, Patricia C",Science
"How Italy's 'father of the swabs' fought the virus.","{""value"":""2020-08-28""}","Starr, Douglas",Science
"In plasma OK, critics see politics, not science.","{""value"":""2020-08-28""}","Kupferschmidt, Kai; Cohen, Jon",Science
Spit shines for easier coronavirus testing.,"{""value"":""2020-08-28""}","Service, Robert F",Science
Critics slam NIH for demands on bat grant targeted by Trump.,"{""value"":""2020-08-28""}","Wadman, Meredith",Science
Computational social science: Obstacles and opportunities.,"{""value"":""2020-08-28""}","Lazer, David M J; Pentland, Alex; Watts, Duncan J; Aral, Sinan; Athey, Susan; Contractor, Noshir; Freelon, Deen; Gonzalez-Bailon, Sandra; King, Gary; Margetts, Helen; Nelson, Alondra; Salganik, Matthew J; Strohmaier, Markus; Vespignani, Alessandro; Wagner, Claudia",Science
Bridging digital health divides.,"{""value"":""2020-08-28""}","Agrawal, Anurag",Science
The danger of DIY vaccines.,"{""value"":""2020-08-28""}","Caplan, Arthur L; Bateman-House, Alison",Science
An ethical framework for global vaccine allocation.,"{""value"":""2020-09-03""}","Emanuel, Ezekiel J; Persad, Govind; Kern, Adam; Buchanan, Allen; Fabre, Cécile; Halliday, Daniel; Heath, Joseph; Herzog, Lisa; Leland, R J; Lemango, Ephrem T; Luna, Florencia; McCoy, Matthew S; Norheim, Ole F; Ottersen, Trygve; Schaefer, G Owen; Tan, Kok-Chor; Wellman, Christopher Heath; Wolff, Jonathan; Richardson, Henry S",Science
Engineering human ACE2 to optimize binding to the spike protein of SARS coronavirus 2,"{""value"":""2020-09-04""}","Chan, Kui K.; Dorosky, Danielle; Sharma, Preeti; Abbasi, Shawn A.; Dye, John M.; Kranz, David M.; Herbert, Andrew S.; Procko, Erik",Science
"Can Europe tame the pandemic's next wave?","{""value"":""2020-09-04""}","Kupferschmidt, Kai",Science
Systems biological assessment of immunity to mild versus severe COVID-19 infection in humans,"{""value"":""2020-09-04""}","Arunachalam, Prabhu S.; Wimmers, Florian; Mok, Chris Ka Pun; Perera, Ranawaka A. P. M.; Scott, Madeleine; Hagan, Thomas; Sigal, Natalia; Feng, Yupeng; Bristow, Laurel; Tak-Yin Tsang, Owen; Wagh, Dhananjay; Coller, John; Pellegrini, Kathryn L.; Kazmin, Dmitri; Alaaeddine, Ghina; Leung, Wai Shing; Chan, Jacky Man Chun; Chik, Thomas Shiu Hong; Choi, Chris Yau Chung; Huerta, Christopher; Paine McCullough, Michele; Lv, Huibin; Anderson, Evan; Edupuganti, Srilatha; Upadhyay, Amit A.; Bosinger, Steve E.; Maecker, Holden Terry; Khatri, Purvesh; Rouphael, Nadine; Peiris, Malik; Pulendran, Bali",Science
Can proteins be truly designed sans function?,"{""value"":""2020-09-04""}","Peacock, Anna",Science
Bill threatens key Brazilian universities.,"{""value"":""2020-09-04""}","Amigo, Ignacio",Science
Reopening schools during COVID-19.,"{""value"":""2020-09-04""}","Lordan, Ronan; FitzGerald, Garret A; Grosser, Tilo",Science
Support transgender scientists post-COVID-19.,"{""value"":""2020-09-04""}","Turney, Shaun; Carvalho, Murillo M; Sousa, Maya E; Birrer, Caroline; Cordeiro, Tábata E F; Diele-Viegas, Luisa M; Hipólito, Juliana; Sales, Lilian P; Santos-Silva, Rejane; Souza, Lucy",Science
False equivalencies: Online activism from left to right.,"{""value"":""2020-09-04""}","Freelon, Deen; Marwick, Alice; Kreiss, Daniel",Science
Enshrining equity in democracy.,"{""value"":""2020-09-04""}","Hammonds, Evelynn M",Science
Adapt taxonomy to conservation goals.,"{""value"":""2020-09-04""}","O'Connell, Darren P; Kelly, David J; Analuddin, Kangkuso; Karya, Adi; Marples, Nicola M; Martin, Thomas E",Science
A molecular trap against COVID-19.,"{""value"":""2020-09-04""}","DeKosky, Brandon J",Science
De novo design of picomolar SARS-CoV-2 miniprotein inhibitors.,"{""value"":""2020-09-09""}","Cao, Longxing; Goreshnik, Inna; Coventry, Brian; Case, James Brett; Miller, Lauren; Kozodoy, Lisa; Chen, Rita E; Carter, Lauren; Walls, Alexandra C; Park, Young-Jun; Strauch, Eva-Maria; Stewart, Lance; Diamond, Michael S; Veesler, David; Baker, David",Science
Cryptic transmission of SARS-CoV-2 in Washington state.,"{""value"":""2020-09-10""}","Bedford, Trevor; Greninger, Alexander L; Roychoudhury, Pavitra; Starita, Lea M; Famulare, Michael; Huang, Meei-Li; Nalla, Arun; Pepper, Gregory; Reinhardt, Adam; Xie, Hong; Shrestha, Lasata; Nguyen, Truong N; Adler, Amanda; Brandstetter, Elisabeth; Cho, Shari; Giroux, Danielle; Han, Peter D; Fay, Kairsten; Frazar, Chris D; Ilcisin, Misja; Lacombe, Kirsten; Lee, Jover; Kiavand, Anahita; Richardson, Matthew; Sibley, Thomas R; Truong, Melissa; Wolf, Caitlin R; Nickerson, Deborah A; Rieder, Mark J; Englund, Janet A; Hadfield, James; Hodcroft, Emma B; Huddleston, John; Moncla, Louise H; Müller, Nicola F; Neher, Richard A; Deng, Xianding; Gu, Wei; Federman, Scot; Chiu, Charles; Duchin, Jeff S; Gautom, Romesh; Melly, Geoff; Hiatt, Brian; Dykema, Philip; Lindquist, Scott; Queen, Krista; Tao, Ying; Uehara, Anna; Tong, Suxiang; MacCannell, Duncan; Armstrong, Gregory L; Baird, Geoffrey S; Chu, Helen Y; Shendure, Jay; Jerome, Keith R",Science
The emergence of SARS-CoV-2 in Europe and North America.,"{""value"":""2020-09-10""}","Worobey, Michael; Pekar, Jonathan; Larsen, Brendan B; Nelson, Martha I; Hill, Verity; Joy, Jeffrey B; Rambaut, Andrew; Suchard, Marc A; Wertheim, Joel O; Lemey, Philippe",Science
Coronavirus dons a new crown.,"{""value"":""2020-09-11""}","Unchwaniwala, Nuruddin; Ahlquist, Paul",Science
Modulating gut microbes.,"{""value"":""2020-09-11""}","Wargo, Jennifer A",Science
Searching for sex differences.,"{""value"":""2020-09-11""}","Wilson, Melissa A",Science
Why obesity worsens COVID-19.,"{""value"":""2020-09-11""}","Wadman, Meredith",Science
Accumulation of plastic waste during COVID-19.,"{""value"":""2020-09-11""}","Adyel, Tanveer M",Science
A key piece of the ferroelectric hafnia puzzle.,"{""value"":""2020-09-11""}","Noheda, Beatriz; Íñiguez, Jorge",Science
Speaking science to power.,"{""value"":""2020-09-11""}","Servick, Kelly",Science
Trump lied about science.,"{""value"":""2020-09-11""}","Thorp, H Holden",Science
A molecular pore spans the double membrane of the coronavirus replication organelle,"{""value"":""2020-09-11""}","Wolff, Georg; Limpens, Ronald W. A. L.; Zevenhoven-Dobbe, Jessika C.; Laugks, Ulrike; Zheng, Shawn; de Jong, Anja W. M.; Koning, Roman I.; Agard, David A.; Grünewald, Kay; Koster, Abraham J.; Snijder, Eric J.; Bárcena, Montserrat",Science
"Quiet Anthropocene, quiet Earth.","{""value"":""2020-09-11""}","Denolle, Marine A; Nissen-Meyer, Tarje",Science
Reactive polymers guide nanoparticle clustering.,"{""value"":""2020-09-11""}","Gang, Oleg",Science
"Self-experimentation, ethics, and regulation of vaccines.","{""value"":""2020-09-17""}","Guerrini, Christi J; Sherkow, Jacob S; Meyer, Michelle N; Zettler, Patricia J",Science
University-pharmacy partnerships for COVID-19.,"{""value"":""2020-09-18""}","Venditto, Vincent J; Hudspeth, Brooke; Freeman, Patricia R; Kebodeaux, Clark; Guy, R Kiplin",Science
Delivering a difference.,"{""value"":""2020-09-18""}","Macejak, Dennis",Science
"Pandemic inspires push to shrink jails, prisons.","{""value"":""2020-09-18""}","Servick, Kelly",Science
Systemic racism in higher education.,"{""value"":""2020-09-18""}","Barber, Paul H; Hayes, Tyrone B; Johnson, Tracy L; Márquez-Magaña, Leticia",Science
Viral heart damage under scrutiny.,"{""value"":""2020-09-18""}","Couzin-Frankel, Jennifer",Science
The burden of stigma.,"{""value"":""2020-09-18""}","Chandrashekhar, Vaishnavi",Science
"Immune life history, vaccination, and the dynamics of SARS-CoV-2 over the next 5 years.","{""value"":""2020-09-21""}","Saad-Roy, Chadi M; Wagner, Caroline E; Baker, Rachel E; Morris, Sinead E; Farrar, Jeremy; Graham, Andrea L; Levin, Simon A; Mina, Michael J; Metcalf, C Jessica E; Grenfell, Bryan T",Science
Free fatty acid binding pocket in the locked structure of SARS-CoV-2 spike protein.,"{""value"":""2020-09-21""}","Toelzer, Christine; Gupta, Kapil; Yadav, Sathish K N; Borucu, Ufuk; Davidson, Andrew D; Kavanagh Williamson, Maia; Shoemark, Deborah K; Garzoni, Frederic; Staufer, Oskar; Milligan, Rachel; Capin, Julien; Mulholland, Adrian J; Spatz, Joachim; Fitzgerald, Daniel; Berger, Imre; Schaffitzel, Christiane",Science
COVID-19 in children and young people.,"{""value"":""2020-09-21""}","Snape, Matthew D; Viner, Russell M",Science
COVID-19 can affect the heart.,"{""value"":""2020-09-23""}","Topol, Eric J",Science
Singing in a silent spring: Birds respond to a half-century soundscape reversion during the COVID-19 shutdown.,"{""value"":""2020-09-24""}","Derryberry, Elizabeth P; Phillips, Jennifer N; Derryberry, Graham E; Blum, Michael J; Luther, David",Science
Ultrapotent human antibodies protect against SARS-CoV-2 challenge via multiple mechanisms.,"{""value"":""2020-09-24""}","Tortorici, M Alejandra; Beltramello, Martina; Lempp, Florian A; Pinto, Dora; Dang, Ha V; Rosen, Laura E; McCallum, Matthew; Bowen, John; Minola, Andrea; Jaconi, Stefano; Zatta, Fabrizia; De Marco, Anna; Guarino, Barbara; Bianchi, Siro; Lauron, Elvin J; Tucker, Heather; Zhou, Jiayi; Peter, Alessia; Havenar-Daughton, Colin; Wojcechowskyj, Jason A; Case, James Brett; Chen, Rita E; Kaiser, Hannah; Montiel-Ruiz, Martin; Meury, Marcel; Czudnochowski, Nadine; Spreafico, Roberto; Dillen, Josh; Ng, Cindy; Sprugasci, Nicole; Culap, Katja; Benigni, Fabio; Abdelnabi, Rana; Foo, Shi-Yan Caroline; Schmid, Michael A; Cameroni, Elisabetta; Riva, Agostino; Gabrieli, Arianna; Galli, Massimo; Pizzuto, Matteo S; Neyts, Johan; Diamond, Michael S; Virgin, Herbert W; Snell, Gyorgy; Corti, Davide; Fink, Katja; Veesler, David",Science
Auto-antibodies against type I IFNs in patients with life-threatening COVID-19.,"{""value"":""2020-09-24""}","Bastard, Paul; Rosen, Lindsey B; Zhang, Qian; Michailidis, Eleftherios; Hoffmann, Hans-Heinrich; Zhang, Yu; Dorgham, Karim; Philippot, Quentin; Rosain, Jérémie; Béziat, Vivien; Manry, Jérémy; Shaw, Elana; Haljasmägi, Liis; Peterson, Pärt; Lorenzo, Lazaro; Bizien, Lucy; Trouillet-Assant, Sophie; Dobbs, Kerry; de Jesus, Adriana Almeida; Belot, Alexandre; Kallaste, Anne; Catherinot, Emilie; Tandjaoui-Lambiotte, Yacine; Le Pen, Jeremie; Kerner, Gaspard; Bigio, Benedetta; Seeleuthner, Yoann; Yang, Rui; Bolze, Alexandre; Spaan, András N; Delmonte, Ottavia M; Abers, Michael S; Aiuti, Alessandro; Casari, Giorgio; Lampasona, Vito; Piemonti, Lorenzo; Ciceri, Fabio; Bilguvar, Kaya; Lifton, Richard P; Vasse, Marc; Smadja, David M; Migaud, Mélanie; Hadjadj, Jérome; Terrier, Benjamin; Duffy, Darragh; Quintana-Murci, Lluis; van de Beek, Diederik; Roussel, Lucie; Vinh, Donald C; Tangye, Stuart G; Haerynck, Filomeen; Dalmau, David; Martinez-Picado, Javier; Brodin, Petter; Nussenzweig, Michel C; Boisson-Dupuis, Stéphanie; Rodríguez-Gallego, Carlos; Vogt, Guillaume; Mogensen, Trine H; Oler, Andrew J; Gu, Jingwen; Burbelo, Peter D; Cohen, Jeffrey; Biondi, Andrea; Bettini, Laura Rachele; D'Angio, Mariella; Bonfanti, Paolo; Rossignol, Patrick; Mayaux, Julien; Rieux-Laucat, Frédéric; Husebye, Eystein S; Fusco, Francesca; Ursini, Matilde Valeria; Imberti, Luisa; Sottini, Alessandra; Paghera, Simone; Quiros-Roldan, Eugenia; Rossi, Camillo; Castagnoli, Riccardo; Montagna, Daniela; Licari, Amelia; Marseglia, Gian Luigi; Duval, Xavier; Ghosn, Jade; Tsang, John S; Goldbach-Mansky, Raphaela; Kisand, Kai; Lionakis, Michail S; Puel, Anne; Zhang, Shen-Ying; Holland, Steven M; Gorochov, Guy; Jouanguy, Emmanuelle; Rice, Charles M; Cobat, Aurélie; Notarangelo, Luigi D; Abel, Laurent; Su, Helen C; Casanova, Jean-Laurent",Science
Inborn errors of type I IFN immunity in patients with life-threatening COVID-19.,"{""value"":""2020-09-24""}","Zhang, Qian; Bastard, Paul; Liu, Zhiyong; Le Pen, Jérémie; Moncada-Velez, Marcela; Chen, Jie; Ogishi, Masato; Sabli, Ira K D; Hodeib, Stephanie; Korol, Cecilia; Rosain, Jérémie; Bilguvar, Kaya; Ye, Junqiang; Bolze, Alexandre; Bigio, Benedetta; Yang, Rui; Arias, Andrés Augusto; Zhou, Qinhua; Zhang, Yu; Onodi, Fanny; Korniotis, Sarantis; Karpf, Léa; Philippot, Quentin; Chbihi, Marwa; Bonnet-Madin, Lucie; Dorgham, Karim; Smith, Nikaïa; Schneider, William M; Razooky, Brandon S; Hoffmann, Hans-Heinrich; Michailidis, Eleftherios; Moens, Leen; Han, Ji Eun; Lorenzo, Lazaro; Bizien, Lucy; Meade, Philip; Neehus, Anna-Lena; Ugurbil, Aileen Camille; Corneau, Aurélien; Kerner, Gaspard; Zhang, Peng; Rapaport, Franck; Seeleuthner, Yoann; Manry, Jeremy; Masson, Cecile; Schmitt, Yohann; Schlüter, Agatha; Le Voyer, Tom; Khan, Taushif; Li, Juan; Fellay, Jacques; Roussel, Lucie; Shahrooei, Mohammad; Alosaimi, Mohammed F; Mansouri, Davood; Al-Saud, Haya; Al-Mulla, Fahd; Almourfi, Feras; Al-Muhsen, Saleh Zaid; Alsohime, Fahad; Al Turki, Saeed; Hasanato, Rana; van de Beek, Diederik; Biondi, Andrea; Bettini, Laura Rachele; D'Angio, Mariella; Bonfanti, Paolo; Imberti, Luisa; Sottini, Alessandra; Paghera, Simone; Quiros-Roldan, Eugenia; Rossi, Camillo; Oler, Andrew J; Tompkins, Miranda F; Alba, Camille; Vandernoot, Isabelle; Goffard, Jean-Christophe; Smits, Guillaume; Migeotte, Isabelle; Haerynck, Filomeen; Soler-Palacin, Pere; Martin-Nalda, Andrea; Colobran, Roger; Morange, Pierre-Emmanuel; Keles, Sevgi; Çölkesen, Fatma; Ozcelik, Tayfun; Yasar, Kadriye Kart; Senoglu, Sevtap; Karabela, Şemsi Nur; Gallego, Carlos Rodríguez; Novelli, Giuseppe; Hraiech, Sami; Tandjaoui-Lambiotte, Yacine; Duval, Xavier; Laouénan, Cédric; Snow, Andrew L; Dalgard, Clifton L; Milner, Joshua; Vinh, Donald C; Mogensen, Trine H; Marr, Nico; Spaan, András N; Boisson, Bertrand; Boisson-Dupuis, Stéphanie; Bustamante, Jacinta; Puel, Anne; Ciancanelli, Michael; Meyts, Isabelle; Maniatis, Tom; Soumelis, Vassili; Amara, Ali; Nussenzweig, Michel; García-Sastre, Adolfo; Krammer, Florian; Pujol, Aurora; Duffy, Darragh; Lifton, Richard; Zhang, Shen-Ying; Gorochov, Guy; Béziat, Vivien; Jouanguy, Emmanuelle; Sancho-Shimizu, Vanessa; Rice, Charles M; Abel, Laurent; Notarangelo, Luigi D; Cobat, Aurélie; Su, Helen C; Casanova, Jean-Laurent",Science
Turkey targets critics of its pandemic response.,"{""value"":""2020-09-25""}","McTighe, Kristen",Science
Adaptation of SARS-CoV-2 in BALB/c mice for testing vaccine efficacy,"{""value"":""2020-09-25""}","Gu, Hongjing; Chen, Qi; Yang, Guan; He, Lei; Fan, Hang; Deng, Yong-Qiang; Wang, Yanxiao; Teng, Yue; Zhao, Zhongpeng; Cui, Yujun; Li, Yuchang; Li, Xiao-Feng; Li, Jiangfan; Zhang, Na-Na; Yang, Xiaolan; Chen, Shaolong; Guo, Yan; Zhao, Guangyu; Wang, Xiliang; Luo, De-Yan; Wang, Hui; Yang, Xiao; Li, Yan; Han, Gencheng; He, Yuxian; Zhou, Xiaojun; Geng, Shusheng; Sheng, Xiaoli; Jiang, Shibo; Sun, Shihui; Qin, Cheng-Feng; Zhou, Yusen",Science
A tropical research treasure faces difficult times.,"{""value"":""2020-09-25""}","Kaiser, Jocelyn",Science
"Despite obstacles, WHO unveils plan to distribute vaccine.","{""value"":""2020-09-25""}","Kupferschmidt, Kai",Science
Fighting to be counted.,"{""value"":""2020-09-25""}","Wade, Lizzie",Science
The science and medicine of human immunology.,"{""value"":""2020-09-25""}","Pulendran, Bali; Davis, Mark M",Science
Flawed interferon response spurs severe illness.,"{""value"":""2020-09-25""}","Wadman, Meredith",Science
Viral epitope profiling of COVID-19 patients reveals cross-reactivity and correlates of severity.,"{""value"":""2020-09-29""}","Shrock, Ellen; Fujimura, Eric; Kula, Tomasz; Timms, Richard T; Lee, I-Hsiu; Leng, Yumei; Robinson, Matthew L; Sie, Brandon M; Li, Mamie Z; Chen, Yuezhou; Logue, Jennifer; Zuiani, Adam; McCulloch, Denise; Lelis, Felipe J N; Henson, Stephanie; Monaco, Daniel R; Travers, Meghan; Habibi, Shaghayegh; Clarke, William A; Caturegli, Patrizio; Laeyendecker, Oliver; Piechocka-Trocha, Alicja; Li, Jon; Khatri, Ashok; Chu, Helen Y; Villani, Alexandra-Chloé; Kays, Kyle; Goldberg, Marcia B; Hacohen, Nir; Filbin, Michael R; Yu, Xu G; Walker, Bruce D; Wesemann, Duane R; Larman, H Benjamin; Lederer, James A; Elledge, Stephen J",Science
"Two words Trump can't say.","{""value"":""2020-10-01""}","Thorp, H Holden",Science
A boost for freshwater conservation.,"{""value"":""2020-10-02""}","Abell, Robin; Harrison, Ian J",Science
A call for diagnostic tests to report viral load.,"{""value"":""2020-10-02""}","Service, Robert F",Science
"The 'bat man' tackles COVID-19.","{""value"":""2020-10-02""}","Kupferschmidt, Kai",Science
Selective and cross-reactive SARS-CoV-2 T cell epitopes in unexposed humans,"{""value"":""2020-10-02""}","Mateus, Jose; Grifoni, Alba; Tarke, Alison; Sidney, John; Ramirez, Sydney I.; Dan, Jennifer M.; Burger, Zoe C.; Rawlings, Stephen A.; Smith, Davey M.; Phillips, Elizabeth; Mallal, Simon; Lammers, Marshall; Rubiro, Paul; Quiambao, Lorenzo; Sutherland, Aaron; Yu, Esther Dawen; da Silva Antunes, Ricardo; Greenbaum, Jason; Frazier, April; Markmann, Alena J.; Premkumar, Lakshmanane; de Silva, Aravinda; Peters, Bjoern; Crotty, Shane; Sette, Alessandro; Weiskopf, Daniela",Science
"How to fix the GDPR's frustration of global biomedical research.","{""value"":""2020-10-02""}","Bovenberg, Jasper; Peloquin, David; Bierer, Barbara; Barnes, Mark; Knoppers, Bartha Maria",Science
Funding fix: Spend time.,"{""value"":""2020-10-02""}","Lata, Charu; Mehrian-Shai, Ruty; Cao, Bo; Kothapalli, Naga Rama; Singh, Garima; Friedman, Daniel Ari; Cheung, Felix Man-Him; Richter, Wagner Eduardo; Kirshner, Samuel Nathan; Beardsley, Felicia; Wu, Xiao-Yu",Science
Airborne transmission of SARS-CoV-2.,"{""value"":""2020-10-05""}","Prather, Kimberly A; Marr, Linsey C; Schooley, Robert T; McDiarmid, Melissa A; Wilson, Mary E; Milton, Donald K",Science
MHC class II transactivator CIITA induces cell resistance to Ebola virus and SARS-like coronaviruses,"{""value"":""2020-10-09""}","Bruchez, Anna; Sha, Ky; Johnson, Joshua; Chen, Li; Stefani, Caroline; McConnell, Hannah; Gaucherand, Lea; Prins, Rachel; Matreyek, Kenneth A.; Hume, Adam J.; Mühlberger, Elke; Schmidt, Emmett V.; Olinger, Gene G.; Stuart, Lynda M.; Lacy-Hulbert, Adam",Science
Animal welfare science aids conservation.,"{""value"":""2020-10-09""}","Hampton, Jordan O; Baker, Sandra E; Beausoleil, Ngaio J; Cattet, Marc; Forsyth, David M; McMahon, Clive R; Proulx, Gilbert; Warburton, Bruce",Science
In situ structural analysis of SARS-CoV-2 spike reveals flexibility mediated by three hinges,"{""value"":""2020-10-09""}","Turoňová, Beata; Sikora, Mateusz; Schürmann, Christoph; Hagen, Wim J. H.; Welsch, Sonja; Blanc, Florian E. C.; von Bülow, Sören; Gecht, Michael; Bagola, Katrin; Hörner, Cindy; van Zandbergen, Ger; Landry, Jonathan; de Azevedo, Nayara Trevisan Doimo; Mosalaganti, Shyamal; Schwarz, Andre; Covino, Roberto; Mühlebach, Michael D.; Hummer, Gerhard; Krijnse Locker, Jacomine; Beck, Martin",Science
